Team 1,Team 2,Date,KST Time,UTC Time
토트넘,웨스트햄,19.10. 20:30,2024-10-19 20:30:00+09:00,2024-10-19 11:30:00+00:00
뉴캐슬 Utd,브라이튼,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
맨체스터 유나이티드,브렌트퍼드,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
사우샘프턴,레스터,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
입스위치,에버턴,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
풀럼,아스톤 빌라,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
본머스,아스널,20.10. 01:30,2024-10-20 01:30:00+09:00,2024-10-19 16:30:00+00:00
울버햄튼,맨체스터 시티,20.10. 22:00,2024-10-20 22:00:00+09:00,2024-10-20 13:00:00+00:00
리버풀,첼시,21.10. 00:30,2024-10-21 00:30:00+09:00,2024-10-20 15:30:00+00:00
노팅엄,크리스탈팰리스,22.10. 04:00,2024-10-22 04:00:00+09:00,2024-10-21 19:00:00+00:00
레스터,노팅엄,26.10. 04:00,2024-10-26 04:00:00+09:00,2024-10-25 19:00:00+00:00
맨체스터 시티,사우샘프턴,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
브라이튼,울버햄튼,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
브렌트퍼드,입스위치,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
아스톤 빌라,본머스,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
에버턴,풀럼,27.10. 01:30,2024-10-27 01:30:00+09:00,2024-10-26 16:30:00+00:00
웨스트햄,맨체스터 유나이티드,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
첼시,뉴캐슬 Utd,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
크리스탈팰리스,토트넘,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
아스널,리버풀,28.10. 01:30,2024-10-28 01:30:00+09:00,2024-10-27 16:30:00+00:00
뉴캐슬 Utd,아스널,02.11. 21:30,2024-11-02 21:30:00+09:00,2024-11-02 12:30:00+00:00
노팅엄,웨스트햄,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
리버풀,브라이튼,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
본머스,맨체스터 시티,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
사우샘프턴,에버턴,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
입스위치,레스터,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
울버햄튼,크리스탈팰리스,03.11. 02:30,2024-11-03 02:30:00+09:00,2024-11-02 17:30:00+00:00
토트넘,아스톤 빌라,03.11. 23:00,2024-11-03 23:00:00+09:00,2024-11-03 14:00:00+00:00
맨체스터 유나이티드,첼시,04.11. 01:30,2024-11-04 01:30:00+09:00,2024-11-03 16:30:00+00:00
풀럼,브렌트퍼드,05.11. 05:00,2024-11-05 05:00:00+09:00,2024-11-04 20:00:00+00:00
본머스,울버햄튼,10.11. 00:00,2024-11-10 00:00:00+09:00,2024-11-09 15:00:00+00:00
사우샘프턴,웨스트햄,10.11. 00:00,2024-11-10 00:00:00+09:00,2024-11-09 15:00:00+00:00
에버턴,크리스탈팰리스,10.11. 00:00,2024-11-10 00:00:00+09:00,2024-11-09 15:00:00+00:00
풀럼,브라이튼,10.11. 00:00,2024-11-10 00:00:00+09:00,2024-11-09 15:00:00+00:00
맨체스터 시티,리버풀,10.11. 02:30,2024-11-10 02:30:00+09:00,2024-11-09 17:30:00+00:00
아스톤 빌라,노팅엄,10.11. 05:00,2024-11-10 05:00:00+09:00,2024-11-09 20:00:00+00:00
뉴캐슬 Utd,맨체스터 유나이티드,10.11. 23:00,2024-11-10 23:00:00+09:00,2024-11-10 14:00:00+00:00
레스터,토트넘,10.11. 23:00,2024-11-10 23:00:00+09:00,2024-11-10 14:00:00+00:00
입스위치,첼시,10.11. 23:00,2024-11-10 23:00:00+09:00,2024-11-10 14:00:00+00:00
아스널,레스터,11.11. 01:30,2024-11-11 01:30:00+09:00,2024-11-10 16:30:00+00:00
첼시,본머스,23.11. 21:30,2024-11-23 21:30:00+09:00,2024-11-23 12:30:00+00:00
브라이튼,아스널,24.11. 00:00,2024-11-24 00:00:00+09:00,2024-11-23 15:00:00+00:00
노팅엄,아스톤 빌라,24.11. 00:00,2024-11-24 00:00:00+09:00,2024-11-23 15:00:00+00:00
크리스탈팰리스,에버턴,24.11. 00:00,2024-11-24 00:00:00+09:00,2024-11-23 15:00:00+00:00
브렌트퍼드,풀럼,24.11. 00:00,2024-11-24 00:00:00+09:00,2024-11-23 15:00:00+00:00
울버햄튼,맨체스터 시티,24.11. 00:00,2024-11-24 00:00:00+09:00,2024-11-23 15:00:00+00:00
토트넘,사우샘프턴,24.11. 02:30,2024-11-24 02:30:00+09:00,2024-11-23 17:30:00+00:00
리버풀,입스위치,24.11. 23:00,2024-11-24 23:00:00+09:00,2024-11-24 14:00:00+00:00
맨체스터 유나이티드,뉴캐슬 Utd,25.11. 01:30,2024-11-25 01:30:00+09:00,2024-11-24 16:30:00+00:00
웨스트햄,브라이튼,26.11. 05:00,2024-11-26 05:00:00+09:00,2024-11-25 20:00:00+00:00
사우샘프턴,노팅엄,30.11. 05:00,2024-11-30 05:00:00+09:00,2024-11-29 20:00:00+00:00
입스위치,브렌트퍼드,01.12. 00:00,2024-12-01 00:00:00+09:00,2024-11-30 15:00:00+00:00
레스터,울버햄튼,01.12. 00:00,2024-12-01 00:00:00+09:00,2024-11-30 15:00:00+00:00
본머스,크리스탈팰리스,01.12. 00:00,2024-12-01 00:00:00+09:00,2024-11-30 15:00:00+00:00
뉴캐슬 Utd,웨스트햄,01.12. 00:00,2024-12-01 00:00:00+09:00,2024-11-30 15:00:00+00:00
아스널,맨체스터 유나이티드,01.12. 02:30,2024-12-01 02:30:00+09:00,2024-11-30 17:30:00+00:00
에버턴,첼시,01.12. 22:30,2024-12-01 22:30:00+09:00,2024-12-01 13:30:00+00:00
아스톤 빌라,토트넘,01.12. 22:30,2024-12-01 22:30:00+09:00,2024-12-01 13:30:00+00:00
풀럼,리버풀,01.12. 22:30,2024-12-01 22:30:00+09:00,2024-12-01 13:30:00+00:00
맨체스터 시티,레스터,02.12. 01:00,2024-12-02 01:00:00+09:00,2024-12-01 16:00:00+00:00
웨스트햄,본머스,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
토트넘,아스널,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
맨체스터 유나이티드,아스톤 빌라,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
브렌트퍼드,에버턴,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
울버햄튼,입스위치,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
크리스탈팰리스,풀럼,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
브라이튼,뉴캐슬 Utd,04.12. 04:45,2024-12-04 04:45:00+09:00,2024-12-03 19:45:00+00:00
리버풀,맨체스터 시티,05.12. 04:45,2024-12-05 04:45:00+09:00,2024-12-04 19:45:00+00:00
노팅엄,사우샘프턴,05.12. 04:45,2024-12-05 04:45:00+09:00,2024-12-04 19:45:00+00:00
첼시,,05.12. 04:45,2024-12-05 04:45:00+09:00,2024-12-04 19:45:00+00:00
